Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,10477.549805,10495.200195,10404.650391,10442.200195,10442.200195,153400.0
2018-01-03,10482.650391,10503.599609,10429.549805,10443.200195,10443.200195,167300.0
2018-01-04,10469.400391,10513.0,10441.450195,10504.799805,10504.799805,174900.0
2018-01-05,10534.25,10566.099609,10520.099609,10558.849609,10558.849609,180900.0
2018-01-08,10591.700195,10631.200195,10588.549805,10623.599609,10623.599609,169000.0
2018-01-09,10645.099609,10659.150391,10603.599609,10637.0,10637.0,205000.0
2018-01-10,10652.049805,10655.5,10592.700195,10632.200195,10632.200195,176400.0
2018-01-11,10637.049805,10664.599609,10612.349609,10651.200195,10651.200195,153800.0
2018-01-12,10682.549805,10690.400391,10597.099609,10681.25,10681.25,175200.0
2018-01-15,10718.5,10782.650391,10713.799805,10741.549805,10741.549805,175900.0
2018-01-16,10761.5,10762.349609,10687.849609,10700.450195,10700.450195,211000.0
2018-01-17,10702.450195,10803.0,10666.75,10788.549805,10788.549805,252700.0
2018-01-18,10873.400391,10887.5,10782.400391,10817.0,10817.0,312000.0
2018-01-19,10829.200195,10906.849609,10793.900391,10894.700195,10894.700195,207600.0
2018-01-22,10883.200195,10975.099609,10881.400391,10966.200195,10966.200195,231600.0
2018-01-23,10997.400391,11092.900391,10994.549805,11083.700195,11083.700195,284600.0
2018-01-24,11069.349609,11110.099609,11046.150391,11086.0,11086.0,283400.0
2018-01-25,11095.599609,11095.599609,11009.200195,11069.650391,11069.650391,330300.0
2018-01-29,11079.349609,11171.549805,11075.950195,11130.400391,11130.400391,241700.0
2018-01-30,11120.849609,11121.099609,11033.900391,11049.650391,11049.650391,228000.0
2018-01-31,11018.799805,11058.5,10979.299805,11027.700195,11027.700195,245900.0
2018-02-01,11044.549805,11117.349609,10878.799805,11016.900391,11016.900391,306200.0
2018-02-02,10938.200195,10954.950195,10736.099609,10760.599609,10760.599609,282700.0
2018-02-05,10604.299805,10702.75,10586.799805,10666.549805,10666.549805,240100.0
2018-02-06,10295.150391,10594.150391,10276.299805,10498.25,10498.25,266500.0
2018-02-07,10607.200195,10614.0,10446.400391,10476.700195,10476.700195,250400.0
2018-02-08,10518.5,10637.799805,10479.549805,10576.849609,10576.849609,232200.0
2018-02-09,10416.5,10480.200195,10398.200195,10454.950195,10454.950195,191600.0
2018-02-12,10518.200195,10555.5,10485.400391,10539.75,10539.75,217400.0
2018-02-14,10585.75,10590.549805,10456.650391,10500.900391,10500.900391,229200.0
2018-02-15,10537.900391,10618.099609,10511.049805,10545.5,10545.5,210600.0
2018-02-16,10596.200195,10612.900391,10434.049805,10452.299805,10452.299805,184300.0
2018-02-19,10488.900391,10489.349609,10302.75,10378.400391,10378.400391,187300.0
2018-02-20,10391.0,10429.349609,10347.650391,10360.400391,10360.400391,187700.0
2018-02-21,10426.0,10426.099609,10349.599609,10397.450195,10397.450195,234100.0
2018-02-22,10354.349609,10397.549805,10340.650391,10382.700195,10382.700195,313600.0
2018-02-23,10408.099609,10499.099609,10396.650391,10491.049805,10491.049805,210600.0
2018-02-26,10526.549805,10592.950195,10520.200195,10582.599609,10582.599609,171900.0
2018-02-27,10615.200195,10631.650391,10537.25,10554.299805,10554.299805,187500.0
2018-02-28,10488.950195,10535.5,10461.549805,10492.849609,10492.849609,286000.0
2018-03-01,10479.950195,10525.5,10447.150391,10458.349609,10458.349609,176000.0
2018-03-05,10428.299805,10428.700195,10323.900391,10358.849609,10358.849609,194000.0
2018-03-06,10420.5,10441.349609,10215.900391,10249.25,10249.25,222900.0
2018-03-07,10232.950195,10243.349609,10141.549805,10154.200195,10154.200195,249500.0
2018-03-08,10216.25,10270.349609,10146.400391,10242.650391,10242.650391,226400.0
2018-03-09,10271.299805,10296.700195,10211.900391,10226.849609,10226.849609,186500.0
2018-03-12,10301.599609,10433.650391,10295.450195,10421.400391,10421.400391,216400.0
2018-03-13,10389.5,10478.599609,10377.849609,10426.849609,10426.849609,266700.0
2018-03-14,10393.049805,10420.349609,10336.299805,10410.900391,10410.900391,181400.0
2018-03-15,10405.450195,10420.0,10346.200195,10360.150391,10360.150391,173900.0
2018-03-16,10345.150391,10346.299805,10180.25,10195.150391,10195.150391,328500.0
2018-03-19,10215.349609,10224.549805,10075.299805,10094.25,10094.25,210200.0
2018-03-20,10051.549805,10155.650391,10049.099609,10124.349609,10124.349609,203000.0
2018-03-21,10181.950195,10227.299805,10132.950195,10155.25,10155.25,204800.0
2018-03-22,10167.5,10207.849609,10105.400391,10114.75,10114.75,230500.0
2018-03-23,9968.799805,10027.700195,9951.900391,9998.049805,9998.049805,285700.0
2018-03-26,9989.150391,10143.5,9958.549805,10130.650391,10130.650391,262600.0
2018-03-27,10188.0,10207.900391,10139.650391,10184.150391,10184.150391,225700.0
2018-03-28,10143.599609,10158.349609,10096.900391,10113.700195,10113.700195,344400.0
2018-04-02,10151.650391,10220.099609,10127.75,10211.799805,10211.799805,225400.0
2018-04-03,10186.849609,10255.349609,10171.049805,10245.0,10245.0,205300.0
2018-04-04,10274.599609,10279.849609,10111.299805,10128.400391,10128.400391,231100.0
2018-04-05,10228.450195,10331.799805,10227.450195,10325.150391,10325.150391,236800.0
2018-04-06,10322.75,10350.450195,10290.849609,10331.599609,10331.599609,200200.0
2018-04-09,10333.700195,10397.700195,10328.5,10379.349609,10379.349609,221600.0
2018-04-10,10412.900391,10424.849609,10381.5,10402.25,10402.25,251700.0
2018-04-11,10428.150391,10428.150391,10355.599609,10417.150391,10417.150391,250400.0
2018-04-12,10410.650391,10469.900391,10395.25,10458.650391,10458.650391,238600.0
2018-04-13,10495.299805,10519.900391,10451.450195,10480.599609,10480.599609,213100.0
2018-04-16,10398.299805,10540.150391,10396.349609,10528.349609,10528.349609,195000.0
2018-04-17,10557.299805,10560.450195,10495.650391,10548.700195,10548.700195,206100.0
2018-04-18,10578.900391,10594.200195,10509.700195,10526.200195,10526.200195,205400.0
2018-04-19,10563.650391,10572.200195,10546.200195,10565.299805,10565.299805,262600.0
2018-04-20,10560.349609,10582.349609,10527.450195,10564.049805,10564.049805,244600.0
2018-04-23,10592.799805,10638.349609,10514.950195,10584.700195,10584.700195,194200.0
2018-04-24,10578.099609,10636.799805,10569.0,10614.349609,10614.349609,219200.0
2018-04-25,10612.400391,10612.599609,10536.450195,10570.549805,10570.549805,189200.0
2018-04-26,10586.5,10628.400391,10559.650391,10617.799805,10617.799805,335100.0
2018-04-27,10651.650391,10719.799805,10647.549805,10692.299805,10692.299805,0.0
2018-04-30,10705.75,10759.0,10704.599609,10739.349609,10739.349609,173800.0
2018-05-02,10783.849609,10784.650391,10689.799805,10718.049805,10718.049805,229700.0
2018-05-03,10720.150391,10720.599609,10647.450195,10679.650391,10679.650391,185200.0
2018-05-04,10700.450195,10700.450195,10601.599609,10618.25,10618.25,186500.0
2018-05-07,10653.150391,10725.650391,10635.650391,10715.5,10715.5,168400.0
2018-05-08,10757.900391,10758.549805,10689.400391,10717.799805,10717.799805,269800.0
2018-05-09,10693.349609,10766.25,10689.849609,10741.700195,10741.700195,215400.0
2018-05-10,10779.650391,10785.549805,10705.0,10716.549805,10716.549805,192100.0
2018-05-11,10741.950195,10812.049805,10724.450195,10806.5,10806.5,203100.0
2018-05-14,10815.150391,10834.849609,10774.75,10806.599609,10806.599609,171400.0
2018-05-15,10812.599609,10929.200195,10781.400391,10801.849609,10801.849609,254300.0
2018-05-16,10751.950195,10790.450195,10699.700195,10741.099609,10741.099609,231100.0
2018-05-17,10775.599609,10777.25,10664.5,10682.700195,10682.700195,214100.0
2018-05-18,10671.849609,10674.950195,10589.099609,10596.400391,10596.400391,223000.0
2018-05-21,10616.700195,10621.700195,10505.799805,10516.700195,10516.700195,0.0
2018-05-22,10518.450195,10558.599609,10490.549805,10536.700195,10536.700195,241700.0
2018-05-23,10521.099609,10533.549805,10417.799805,10430.349609,10430.349609,290900.0
2018-05-24,10464.849609,10535.150391,10419.799805,10513.849609,10513.849609,297600.0
2018-05-25,10533.049805,10628.049805,10524.0,10605.150391,10605.150391,260800.0
2018-05-28,10648.349609,10709.799805,10640.549805,10688.650391,10688.650391,232600.0
2018-05-29,10689.400391,10717.25,10616.099609,10633.299805,10633.299805,225800.0
2018-05-30,10579.0,10648.700195,10558.450195,10614.349609,10614.349609,238700.0
2018-05-31,10670.099609,10763.799805,10620.400391,10736.150391,10736.150391,610300.0
2018-06-01,10738.450195,10764.75,10681.5,10696.200195,10696.200195,220600.0
2018-06-04,10765.950195,10770.299805,10618.349609,10628.5,10628.5,203800.0
2018-06-05,10630.700195,10633.150391,10550.900391,10593.150391,10593.150391,167700.0
2018-06-06,10603.450195,10698.349609,10587.5,10684.650391,10684.650391,189900.0
2018-06-07,10722.599609,10818.0,10722.599609,10768.349609,10768.349609,220900.0
2018-06-08,10736.400391,10779.450195,10709.049805,10767.650391,10767.650391,209400.0
2018-06-11,10781.849609,10850.549805,10777.049805,10786.950195,10786.950195,211400.0
2018-06-12,10816.150391,10856.549805,10789.400391,10842.849609,10842.849609,198300.0
2018-06-13,10887.5,10893.25,10842.650391,10856.700195,10856.700195,213400.0
2018-06-14,10832.900391,10833.700195,10773.549805,10808.049805,10808.049805,184300.0
2018-06-15,10808.650391,10834.0,10755.400391,10817.700195,10817.700195,305400.0
2018-06-18,10830.200195,10830.200195,10787.349609,10799.849609,10799.849609,196600.0
2018-06-19,10789.450195,10789.450195,10701.200195,10710.450195,10710.450195,224500.0
2018-06-20,10734.650391,10781.799805,10724.049805,10772.049805,10772.049805,193500.0
2018-06-21,10808.450195,10809.599609,10725.900391,10741.099609,10741.099609,223600.0
2018-06-22,10742.700195,10837.0,10710.450195,10821.849609,10821.849609,229800.0
2018-06-25,10822.900391,10831.049805,10753.049805,10762.450195,10762.450195,229600.0
2018-06-26,10742.700195,10805.25,10732.549805,10769.150391,10769.150391,220000.0
2018-06-27,10785.5,10785.5,10652.400391,10671.400391,10671.400391,246000.0
2018-06-28,10660.799805,10674.200195,10557.700195,10589.099609,10589.099609,352300.0
2018-06-29,10612.849609,10723.049805,10612.349609,10714.299805,10714.299805,242800.0
2018-07-02,10732.349609,10736.150391,10604.650391,10657.299805,10657.299805,295400.0
2018-07-03,10668.599609,10713.299805,10630.25,10699.900391,10699.900391,202100.0
2018-07-04,10715.0,10777.150391,10677.75,10769.900391,10769.900391,173900.0
2018-07-05,10786.049805,10786.049805,10726.25,10749.75,10749.75,220500.0
2018-07-06,10744.150391,10816.349609,10735.049805,10772.650391,10772.650391,0.0
2018-07-09,10838.299805,10860.349609,10807.150391,10852.900391,10852.900391,183600.0
2018-07-10,10902.75,10956.900391,10876.650391,10947.25,10947.25,197000.0
2018-07-11,10956.400391,10976.650391,10923.0,10948.299805,10948.299805,222300.0
2018-07-12,11006.950195,11078.299805,10999.650391,11023.200195,11023.200195,248300.0
2018-07-13,11056.900391,11071.349609,10999.75,11018.900391,11018.900391,0.0
2018-07-16,11018.950195,11019.5,10926.25,10936.849609,10936.849609,210500.0
2018-07-17,10939.650391,11018.5,10925.599609,11008.049805,11008.049805,210600.0
2018-07-18,11060.200195,11076.200195,10956.299805,10980.450195,10980.450195,225500.0
2018-07-19,10999.5,11006.5,10935.450195,10957.099609,10957.099609,215400.0
2018-07-20,10963.5,11030.25,10946.200195,11010.200195,11010.200195,187300.0
2018-07-23,11019.849609,11093.400391,11010.950195,11084.75,11084.75,229100.0
2018-07-24,11109.0,11143.400391,11092.5,11134.299805,11134.299805,205800.0
2018-07-25,11148.400391,11157.150391,11113.25,11132.0,11132.0,205900.0
2018-07-26,11132.950195,11185.849609,11125.700195,11167.299805,11167.299805,365400.0
2018-07-27,11232.75,11283.400391,11210.25,11278.349609,11278.349609,314600.0
2018-07-30,11296.650391,11328.099609,11261.450195,11319.549805,11319.549805,278800.0
2018-07-31,11311.049805,11366.0,11267.75,11356.5,11356.5,256500.0
2018-08-01,11359.799805,11390.549805,11313.549805,11346.200195,11346.200195,269700.0
2018-08-02,11328.900391,11328.900391,11234.950195,11244.700195,11244.700195,210000.0
2018-08-03,11297.799805,11368.0,11294.549805,11360.799805,11360.799805,218300.0
2018-08-06,11401.5,11427.650391,11370.599609,11387.099609,11387.099609,203700.0
2018-08-07,11423.150391,11428.950195,11359.700195,11389.450195,11389.450195,226400.0
2018-08-08,11412.5,11459.950195,11379.299805,11450.0,11450.0,210500.0
2018-08-09,11493.25,11495.200195,11454.099609,11470.700195,11470.700195,302200.0
2018-08-10,11474.950195,11478.75,11419.650391,11429.5,11429.5,0.0
2018-08-13,11369.599609,11406.299805,11340.299805,11355.75,11355.75,246900.0
2018-08-14,11381.700195,11452.450195,11370.799805,11435.099609,11435.099609,232600.0
2018-08-16,11397.150391,11449.849609,11366.25,11385.049805,11385.049805,290600.0
2018-08-17,11437.150391,11486.450195,11431.799805,11470.75,11470.75,234700.0
2018-08-20,11502.099609,11565.299805,11499.650391,11551.75,11551.75,232600.0
2018-08-21,11576.200195,11581.75,11539.599609,11570.900391,11570.900391,224200.0
2018-08-23,11620.700195,11620.700195,11546.700195,11582.75,11582.75,248500.0
2018-08-24,11566.599609,11604.599609,11532.0,11557.099609,11557.099609,218800.0
2018-08-27,11605.849609,11700.950195,11595.599609,11691.950195,11691.950195,199500.0
2018-08-28,11731.950195,11760.200195,11710.5,11738.5,11738.5,241900.0
2018-08-29,11744.950195,11753.200195,11678.849609,11691.900391,11691.900391,251600.0
2018-08-30,11694.75,11698.799805,11639.700195,11676.799805,11676.799805,313800.0
2018-08-31,11675.849609,11727.650391,11640.099609,11680.5,11680.5,346500.0
2018-09-03,11751.799805,11751.799805,11567.400391,11582.349609,11582.349609,234400.0
2018-09-04,11598.75,11602.549805,11496.849609,11520.299805,11520.299805,254800.0
2018-09-05,11514.849609,11542.650391,11393.849609,11476.950195,11476.950195,246100.0
2018-09-06,11514.150391,11562.25,11436.049805,11536.900391,11536.900391,247900.0
2018-09-07,11558.25,11603.0,11484.400391,11589.099609,11589.099609,295900.0
2018-09-10,11570.25,11573.0,11427.299805,11438.099609,11438.099609,286700.0
2018-09-11,11476.849609,11479.400391,11274.0,11287.5,11287.5,0.0
2018-09-12,11340.099609,11380.75,11250.200195,11369.900391,11369.900391,268200.0
2018-09-14,11443.5,11523.25,11430.549805,11515.200195,11515.200195,276600.0
2018-09-17,11464.950195,11464.950195,11366.900391,11377.75,11377.75,201400.0
2018-09-18,11381.549805,11411.450195,11268.950195,11278.900391,11278.900391,240900.0
2018-09-19,11326.650391,11332.049805,11210.900391,11234.349609,11234.349609,250600.0
2018-09-21,11271.299805,11346.799805,10866.450195,11143.099609,11143.099609,719000.0
2018-09-24,11164.400391,11170.150391,10943.599609,10967.400391,10967.400391,0.0
2018-09-25,10969.950195,11080.599609,10882.849609,11067.450195,11067.450195,405000.0
2018-09-26,11145.549805,11145.549805,10993.049805,11053.799805,11053.799805,340500.0
2018-09-27,11079.799805,11089.450195,10953.349609,10977.549805,10977.549805,405700.0
2018-09-28,11008.099609,11034.099609,10850.299805,10930.450195,10930.450195,478100.0
2018-10-01,10930.900391,11035.650391,10821.549805,11008.299805,11008.299805,387000.0
2018-10-03,10982.700195,10989.049805,10843.75,10858.25,10858.25,386800.0
2018-10-04,10754.700195,10754.700195,10547.25,10599.25,10599.25,425100.0
2018-10-05,10514.099609,10540.650391,10261.900391,10316.450195,10316.450195,606400.0
2018-10-08,10310.150391,10398.349609,10198.400391,10348.049805,10348.049805,456200.0
2018-10-09,10390.299805,10397.599609,10279.349609,10301.049805,10301.049805,430500.0
2018-10-10,10331.849609,10482.349609,10318.25,10460.099609,10460.099609,0.0
2018-10-11,10169.799805,10335.950195,10138.599609,10234.650391,10234.650391,483500.0
2018-10-12,10331.549805,10492.450195,10322.150391,10472.5,10472.5,343500.0
2018-10-15,10524.200195,10526.299805,10410.150391,10512.5,10512.5,259500.0
2018-10-16,10550.150391,10604.900391,10525.299805,10584.75,10584.75,265200.0
2018-10-17,10688.700195,10710.150391,10436.450195,10453.049805,10453.049805,284800.0
2018-10-19,10339.700195,10380.099609,10249.599609,10303.549805,10303.549805,357500.0
2018-10-22,10405.849609,10408.549805,10224.0,10245.25,10245.25,297300.0
2018-10-23,10152.599609,10222.099609,10102.349609,10146.799805,10146.799805,302600.0
2018-10-24,10278.150391,10290.650391,10126.700195,10224.75,10224.75,351400.0
2018-10-25,10135.049805,10166.599609,10079.299805,10124.900391,10124.900391,0.0
2018-10-26,10122.349609,10128.849609,10004.549805,10030.0,10030.0,364300.0
2018-10-29,10078.099609,10275.299805,10020.349609,10250.849609,10250.849609,364400.0
2018-10-30,10239.400391,10285.099609,10175.349609,10198.400391,10198.400391,289800.0
2018-10-31,10209.549805,10396.0,10105.099609,10386.599609,10386.599609,375000.0
2018-11-01,10441.700195,10441.900391,10341.900391,10380.450195,10380.450195,348500.0
2018-11-02,10462.299805,10606.950195,10457.700195,10553.0,10553.0,421200.0
2018-11-05,10558.75,10558.799805,10477.0,10524.0,10524.0,301900.0
2018-11-06,10552.0,10600.25,10491.450195,10530.0,10530.0,0.0
2018-11-07,10614.450195,10616.450195,10582.299805,10598.400391,10598.400391,31200.0
2018-11-09,10614.700195,10619.549805,10544.849609,10585.200195,10585.200195,296600.0
2018-11-12,10607.799805,10645.5,10464.049805,10482.200195,10482.200195,259700.0
2018-11-13,10451.900391,10596.25,10440.549805,10582.5,10582.5,254600.0
2018-11-14,10634.900391,10651.599609,10532.700195,10576.299805,10576.299805,384500.0
2018-11-15,10580.599609,10646.5,10557.5,10616.700195,10616.700195,0.0
2018-11-16,10644.0,10695.150391,10631.150391,10682.200195,10682.200195,342800.0
2018-11-19,10731.25,10774.700195,10688.799805,10763.400391,10763.400391,272100.0
2018-11-20,10740.099609,10740.849609,10640.849609,10656.200195,10656.200195,295200.0
2018-11-21,10670.950195,10671.299805,10562.349609,10600.049805,10600.049805,300900.0
2018-11-22,10612.650391,10646.25,10512.0,10526.75,10526.75,239500.0
2018-11-26,10568.299805,10637.799805,10489.75,10628.599609,10628.599609,0.0
2018-11-27,10621.450195,10695.150391,10596.349609,10685.599609,10685.599609,0.0
2018-11-28,10708.75,10757.799805,10699.849609,10728.849609,10728.849609,424500.0
2018-11-29,10808.700195,10883.049805,10782.349609,10858.700195,10858.700195,691300.0
2018-11-30,10892.099609,10922.450195,10835.099609,10876.75,10876.75,453900.0
2018-12-03,10930.700195,10941.200195,10845.349609,10883.75,10883.75,409700.0
2018-12-04,10877.099609,10890.950195,10833.349609,10869.5,10869.5,322100.0
2018-12-05,10820.450195,10821.049805,10747.950195,10782.900391,10782.900391,312300.0
2018-12-06,10718.150391,10722.650391,10588.25,10601.150391,10601.150391,318500.0
2018-12-07,10644.799805,10704.549805,10599.349609,10693.700195,10693.700195,325800.0
2018-12-10,10508.700195,10558.849609,10474.950195,10488.450195,10488.450195,381300.0
2018-12-11,10350.049805,10567.150391,10333.849609,10549.150391,10549.150391,425500.0
2018-12-12,10591.0,10752.200195,10560.799805,10737.599609,10737.599609,360500.0
2018-12-13,10810.75,10838.599609,10749.5,10791.549805,10791.549805,376200.0
2018-12-14,10784.5,10815.75,10752.099609,10805.450195,10805.450195,340100.0
2018-12-17,10853.200195,10900.349609,10844.849609,10888.349609,10888.349609,296900.0
2018-12-18,10850.900391,10915.400391,10819.099609,10908.700195,10908.700195,286100.0
2018-12-19,10930.549805,10985.150391,10928.0,10967.299805,10967.299805,312100.0
2018-12-20,10885.200195,10962.549805,10880.049805,10951.700195,10951.700195,318900.0
2018-12-21,10944.25,10963.650391,10738.650391,10754.0,10754.0,377500.0
2018-12-24,10780.900391,10782.299805,10649.25,10663.5,10663.5,223400.0
2018-12-26,10635.450195,10747.5,10534.549805,10729.849609,10729.849609,263700.0
2018-12-27,10817.900391,10834.200195,10764.450195,10779.799805,10779.799805,456100.0
2018-12-28,10820.950195,10893.599609,10817.150391,10859.900391,10859.900391,245500.0
2020-01-02,41340.269531,41649.289063,41328.449219,41626.640625,41626.640625,5300.0
2020-01-03,41634.511719,41636.179688,41348.679688,41464.609375,41464.609375,8900.0
2020-01-06,41378.339844,41378.339844,40613.960938,40676.628906,40676.628906,8700.0
2020-01-07,40983.039063,41230.140625,40727.371094,40869.46875,40869.46875,11900.0
2020-01-08,40574.828125,40866.359375,40476.550781,40817.738281,40817.738281,18200.0
2020-01-09,41216.671875,41482.121094,41175.71875,41452.351563,41452.351563,7800.0
2020-01-10,41568.199219,41775.109375,41447.800781,41599.71875,41599.71875,13200.0
2020-01-13,41788.210938,41899.628906,41720.761719,41859.691406,41859.691406,10600.0
2020-01-14,41883.089844,41994.261719,41770.898438,41952.628906,41952.628906,14100.0
2020-01-15,41969.859375,41969.859375,41648.109375,41872.730469,41872.730469,6100.0
2020-01-16,41924.738281,42059.449219,41812.28125,41932.558594,41932.558594,6600.0
2020-01-17,41929.019531,42063.929688,41850.289063,41945.371094,41945.371094,9500.0
2020-01-20,42263.0,42273.871094,41503.371094,41528.910156,41528.910156,7500.0
2020-01-21,41487.570313,41532.589844,41294.300781,41323.808594,41323.808594,8900.0
2020-01-22,41467.128906,41532.289063,41059.039063,41115.378906,41115.378906,7700.0
2020-01-23,41191.5,41413.960938,41098.910156,41386.398438,41386.398438,9900.0
2020-01-24,41377.039063,41697.03125,41275.601563,41613.191406,41613.191406,6600.0
2020-01-27,41510.679688,41516.269531,41122.480469,41155.121094,41155.121094,7000.0
2020-01-28,41299.679688,41333.25,40869.75,40966.859375,40966.859375,9800.0
2020-01-29,41131.570313,41334.859375,41108.191406,41198.660156,41198.660156,7800.0
2020-01-30,41380.140625,41380.140625,40829.910156,40913.820313,40913.820313,6700.0
2020-01-31,41146.558594,41154.488281,40671.011719,40723.488281,40723.488281,11500.0
2020-02-03,39701.019531,40014.898438,39563.070313,39872.308594,39872.308594,10600.0
2020-02-04,40178.738281,40818.941406,40117.460938,40789.378906,40789.378906,15300.0
2020-02-05,40921.710938,41177.0,40703.320313,41142.660156,41142.660156,13900.0
2020-02-06,41209.128906,41405.429688,41113.109375,41306.03125,41306.03125,15000.0
2020-02-07,41394.410156,41394.410156,41073.359375,41141.851563,41141.851563,15300.0
2020-02-10,41166.71875,41172.058594,40798.980469,40979.621094,40979.621094,15200.0
2020-02-11,41183.390625,41444.339844,41179.140625,41216.140625,41216.140625,7700.0
2020-02-12,41330.851563,41671.859375,41330.851563,41565.898438,41565.898438,9600.0
2020-02-13,41707.210938,41709.300781,41338.308594,41459.789063,41459.789063,9100.0
2020-02-14,41510.191406,41702.359375,41183.128906,41257.738281,41257.738281,9800.0
2020-02-17,41324.039063,41420.339844,41030.578125,41055.691406,41055.691406,6900.0
2020-02-18,41042.460938,41042.460938,40610.949219,40894.378906,40894.378906,12300.0
2020-02-19,41121.511719,41357.160156,41048.929688,41323.0,41323.0,5600.0
2020-02-20,41334.960938,41399.929688,41134.308594,41170.121094,41170.121094,8400.0
2020-02-24,41037.011719,41037.011719,40306.359375,40363.230469,40363.230469,8100.0
2020-02-25,40497.71875,40536.0,40220.589844,40281.199219,40281.199219,7300.0
2020-02-26,40194.890625,40255.390625,39760.390625,39888.960938,39888.960938,9000.0
2020-02-27,39947.800781,39947.800781,39423.269531,39745.660156,39745.660156,9600.0
2020-02-28,39087.46875,39087.46875,38219.96875,38297.289063,38297.289063,12700.0
2019-03-01,36018.488281,36140.671875,35952.410156,36063.808594,36063.808594,16700.0
2019-03-05,36141.070313,36457.441406,35926.941406,36442.539063,36442.539063,21200.0
2019-03-06,36544.859375,36666.46875,36456.820313,36636.101563,36636.101563,15900.0
2019-03-07,36744.019531,36830.25,36590.878906,36725.421875,36725.421875,16800.0
2019-03-08,36753.589844,36753.589844,36592.929688,36671.429688,36671.429688,14600.0
2019-03-11,36741.570313,37106.191406,36726.390625,37054.101563,37054.101563,14400.0
2019-03-12,37249.648438,37586.628906,37230.851563,37535.660156,37535.660156,19500.0
2019-03-13,37608.289063,37797.289063,37478.871094,37752.171875,37752.171875,21000.0
2019-03-14,37840.640625,37907.78125,37693.691406,37754.890625,37754.890625,15600.0
2019-03-15,37760.230469,38254.769531,37760.230469,38024.320313,38024.320313,16300.0
2019-03-18,38132.960938,38369.589844,37952.101563,38095.070313,38095.070313,15900.0
2019-03-19,38218.589844,38396.058594,38078.230469,38363.46875,38363.46875,15100.0
2019-03-20,38433.859375,38489.808594,38316.210938,38386.75,38386.75,15600.0
2019-03-22,38452.46875,38564.710938,38089.359375,38164.609375,38164.609375,18200.0
2019-03-25,38016.761719,38016.761719,37667.398438,37808.910156,37808.910156,17000.0
2019-03-26,37886.289063,38297.699219,37800.078125,38233.410156,38233.410156,14600.0
2019-03-27,38372.03125,38475.929688,38001.339844,38132.878906,38132.878906,18800.0
2019-03-28,38208.300781,38593.648438,38148.441406,38545.71875,38545.71875,16000.0
2019-04-01,38858.878906,39115.570313,38808.738281,38871.871094,38871.871094,19800.0
2019-04-02,38988.570313,39121.691406,38846.960938,39056.648438,39056.648438,19700.0
2019-04-03,39167.050781,39270.140625,38826.558594,38877.121094,38877.121094,17000.0
2019-04-04,38935.75,38939.351563,38581.039063,38684.71875,38684.71875,13000.0
2019-04-05,38839.519531,38958.601563,38701.039063,38862.230469,38862.230469,15900.0
2019-04-08,38993.601563,39041.25,38520.960938,38700.53125,38700.53125,10500.0
2019-04-09,38730.929688,38978.988281,38598.71875,38939.21875,38939.21875,15100.0
2019-04-10,38898.601563,38950.449219,38542.28125,38585.351563,38585.351563,16200.0
2019-04-11,38621.578125,38649.980469,38460.25,38607.011719,38607.011719,14500.0
2019-04-12,38692.058594,38818.871094,38554.789063,38767.109375,38767.109375,17000.0
2019-04-15,38805.539063,38976.578125,38780.078125,38905.839844,38905.839844,20900.0
2019-04-16,39040.300781,39364.339844,39038.808594,39275.640625,39275.640625,14400.0
2019-04-18,39420.039063,39487.449219,39083.160156,39140.28125,39140.28125,14600.0
2019-04-22,39158.21875,39158.21875,38585.648438,38645.179688,38645.179688,14900.0
2019-04-23,38771.269531,38832.609375,38518.261719,38564.878906,38564.878906,11600.0
2019-04-24,38672.628906,39095.351563,38571.0,39054.679688,39054.679688,15200.0
2019-04-25,39101.78125,39262.21875,38663.980469,38730.859375,38730.859375,14400.0
2019-04-26,38865.828125,39103.160156,38765.328125,39067.328125,39067.328125,17300.0
2019-04-30,39056.921875,39105.878906,38753.460938,39031.550781,39031.550781,30900.0
2019-05-02,39036.511719,39189.949219,38882.988281,38981.429688,38981.429688,26200.0
2019-05-03,39009.550781,39172.761719,38920.171875,38963.261719,38963.261719,14800.0
2019-05-06,38719.328125,38719.328125,38509.789063,38600.339844,38600.339844,13400.0
2019-05-07,38815.460938,38835.539063,38236.179688,38276.628906,38276.628906,15600.0
2019-05-08,38244.179688,38248.570313,37743.070313,37789.128906,37789.128906,13100.0
2019-05-09,37747.910156,37780.460938,37405.398438,37558.910156,37558.910156,15300.0
2019-05-10,37632.359375,37721.980469,37370.390625,37462.988281,37462.988281,19700.0
2019-05-13,37491.300781,37583.570313,36999.839844,37090.820313,37090.820313,17800.0
2019-05-14,37146.578125,37572.699219,36956.101563,37318.53125,37318.53125,17700.0
2019-05-15,37539.050781,37559.671875,37047.871094,37114.878906,37114.878906,19400.0
2019-05-16,37179.128906,37518.941406,37052.300781,37393.480469,37393.480469,15700.0
2019-05-17,37494.421875,38001.128906,37415.359375,37930.769531,37930.769531,18800.0
2019-05-20,38701.179688,39412.558594,38570.039063,39352.671875,39352.671875,26400.0
2019-05-21,39449.449219,39571.730469,38884.851563,38969.800781,38969.800781,22700.0
2019-05-22,39086.210938,39249.078125,38903.871094,39110.210938,39110.210938,15600.0
2019-05-23,39591.769531,40124.960938,38651.609375,38811.390625,38811.390625,28100.0
